Kingdom,Phylum,Class,Order,Family
Animalia,Chordata,Actinopterygii,Characiformes,Characidae
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae
Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae
Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae
Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae
Animalia,Mollusca,Gastropoda,Neritoida,Neritidae
Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae
Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae
Plantae,Magnoliophyta,Liliopsida,Alismatales,Alismataceae
Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae
Plantae,Magnoliophyta,Liliopsida,Alismatales,Hydrocharitaceae
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Acanthaceae
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae
Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae
Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Onagraceae
Plantae,Magnoliophyta,Magnoliopsida,Nymphaeales,Cabombaceae
Plantae,Magnoliophyta,Magnoliopsida,Saxifragales,Haloragaceae
Plantae,Polypodiophyta,Polypodiopsida,Polypodiales,Polypodiaceae
Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae
